"","ID","success5","success.time5","virtual.success.time5","refuge.time","refuge.enter.times","success1","success.time1","total.cue.time1","virtual.success.time1","time.until.any.cue2","time.until.lid.exploring","success4","correct.cue.time4","success.time4","virtual.success.time4","activity.time5","times.resting5","activity.prop5","sex","IT","brain.weight","lobeless.weight","experiment.type","virtual.time.until.lid.exploring"
"1","OC101",TRUE,419460,419460,33542,0,TRUE,447662,163870,447662,40906,392722,FALSE,13632,NA,9e+05,327494,1,0.7708,"Female",3.413,NA,NA,"Treatment",392722
"2","OC112",FALSE,NA,9e+05,2340,0,FALSE,NA,90448,9e+05,8922,41872,FALSE,155278,NA,9e+05,518350,1,0.5759,"Female",NA,1.945,0.984,"Treatment",41872
"3","OC126",FALSE,NA,9e+05,141480,0,TRUE,262624,48216,262624,51216,NA,FALSE,14972,NA,9e+05,891376,1,0.9904,"Female",3.577,NA,NA,"Treatment",9e+05
"4","OC127",TRUE,820018,820018,20194,0,TRUE,424746,93014,424746,64012,810418,TRUE,84264,21464,21464,820018,0,0.9111,"Female",3.552,NA,NA,"Treatment",810418
"5","OC128",TRUE,158532,158532,38086,1,TRUE,614080,54752,614080,89492,63262,FALSE,47544,NA,9e+05,247418,1,0.9316,"Female",NA,NA,NA,"Treatment",63262
"6","OC130",TRUE,147828,147828,146570,0,FALSE,NA,284614,9e+05,22524,8932,TRUE,232460,15682,15682,164430,0,1,"Male",3.399,2.216,0.98,"Treatment",8932
"7","OC135",TRUE,666336,666336,322694,5,TRUE,366786,120964,366786,91338,95230,TRUE,198042,102600,102600,621532,1,0.9165,"Female",3.792,2.356,1.258,"Treatment",95230
"8","OC137",TRUE,306314,306314,381290,1,FALSE,NA,47258,9e+05,84712,93898,TRUE,458226,127288,127288,317296,0,1,"Female",3.975,NA,1.508,"Treatment",93898
"9","OC138",FALSE,NA,9e+05,323138,1,TRUE,466760,63354,466760,46162,422634,TRUE,209242,728210,728210,204342,2,0.227,"Female",3.856,2.434,1.337,"Treatment",422634
"10","OC140",FALSE,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,131546,NA,TRUE,214978,785282,785282,0,1,0,"Female",3.855,2.186,0.988,"Treatment",9e+05
"11","OC15",FALSE,NA,9e+05,467460,0,TRUE,533524,57014,533524,73542,678072,FALSE,91362,NA,9e+05,556600,1,0.6184,"Female",NA,NA,NA,"Treatment",678072
"12","OC20",FALSE,NA,9e+05,3654,0,TRUE,203868,129694,203868,84282,NA,FALSE,NA,NA,NA,884518,1,0.9828,"Female",3.719,1.71,0.87,"Treatment",9e+05
"13","OC24",FALSE,NA,9e+05,1926,0,TRUE,329144,144386,329144,21050,275342,TRUE,173170,31868,31868,411790,1,0.4575,"Female",3.556,NA,NA,"Treatment",275342
"14","OC33",FALSE,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,370726,NA,FALSE,54696,NA,9e+05,765730,2,0.8508,"Female",3.641,NA,NA,"Treatment",9e+05
"15","OC34",FALSE,NA,9e+05,23834,0,TRUE,343690,119720,343690,130964,NA,FALSE,30452,NA,9e+05,237466,1,0.2639,"Female",4.177,NA,NA,"Treatment",9e+05
"16","OC38",TRUE,359844,359844,252700,1,TRUE,703212,22926,703212,30768,20410,TRUE,216630,110282,110282,373696,0,1,"Male",2.802,1.6,0.804,"Treatment",20410
"17","OC39",TRUE,140000,140000,566922,1,FALSE,NA,12664,9e+05,74402,39318,TRUE,752468,33650,33650,159668,1,0.887,"Male",2.899,1.961,0.816,"Treatment",39318
"18","OC40",TRUE,612372,612372,10154,1,FALSE,NA,41562,9e+05,104014,20262,TRUE,368862,18000,18000,619814,0,1,"Male",NA,NA,NA,"Treatment",20262
"19","OC45",TRUE,392036,392036,234532,0,TRUE,533860,29734,533860,97742,349364,TRUE,208562,79566,79566,395852,0,1,"Female",3.657,NA,NA,"Treatment",349364
"21","OC52",FALSE,NA,9e+05,306082,1,TRUE,589136,64348,589136,187868,NA,TRUE,68692,131300,131300,350880,2,0.3899,"Male",2.847,1.627,0.758,"Treatment",9e+05
"22","OC54",FALSE,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,NA,867996,FALSE,93336,NA,9e+05,490780,1,0.5453,"Male",3.367,1.825,1,"Treatment",867996
"25","OC58",FALSE,NA,9e+05,694742,0,FALSE,NA,13548,9e+05,17866,120530,TRUE,259006,70564,70564,478384,1,0.5315,"Female",3.541,NA,NA,"Treatment",120530
"26","OC70",FALSE,NA,9e+05,15370,1,TRUE,234922,68426,234922,50728,NA,NA,NA,NA,NA,115050,1,0.1278,"Female",3.563,NA,NA,"Treatment",9e+05
"27","OC71",FALSE,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,21778,NA,TRUE,347184,214940,214940,9e+05,0,1,"Female",3.694,2.304,1.047,"Treatment",9e+05
"28","OC73",FALSE,NA,9e+05,202824,1,TRUE,149060,73106,149060,6520,20524,TRUE,768422,20170,20170,852832,1,0.9476,"Female",3.761,2.643,1.084,"Treatment",20524
"29","OC74",FALSE,NA,9e+05,662794,0,FALSE,NA,31636,9e+05,4760,10258,FALSE,178832,NA,9e+05,707316,2,0.7859,"Female",3.553,NA,0.835,"Treatment",10258
"31","OC86",FALSE,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,60010,102252,TRUE,121240,142704,142704,9e+05,0,1,"Female",3.259,NA,NA,"Treatment",102252
"32","OC88",TRUE,3e+05,3e+05,89090,2,TRUE,448374,146894,448374,69738,42662,TRUE,224904,46606,46606,370348,0,1,"Female",3.608,NA,NA,"Treatment",42662
"33","OC89",FALSE,NA,9e+05,58472,1,TRUE,287974,154748,287974,121054,530594,TRUE,440408,90000,90000,9e+05,0,1,"Female",NA,NA,NA,"Treatment",530594
"110","OC108",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,38258,NA,FALSE,49170,NA,9e+05,138964,1,0.1544,"Female",3.544,1.974,0.936,"Control",9e+05
"210","OC123",TRUE,28800,28800,0,0,FALSE,NA,0,NA,98114,12778,TRUE,250638,32372,32372,28238,0,0.8456,"Male",3.331,1.988,0.988,"Control",12778
"34","OC124",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,24230,NA,TRUE,87728,24480,24480,436006,2,0.4845,"Male",2.978,1.746,0.819,"Control",9e+05
"41","OC125",TRUE,726436,726436,0,0,FALSE,NA,0,NA,44614,643876,TRUE,199490,381660,381660,295776,3,0.4042,"Male",3.196,1.589,0.948,"Control",643876
"51","OC13",TRUE,34754,34754,0,0,FALSE,NA,0,NA,88794,21218,FALSE,49028,NA,9e+05,67222,0,1,"Female",NA,NA,NA,"Control",21218
"61","OC131",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,84490,367862,FALSE,35572,NA,9e+05,835042,1,0.9278,"Female",3.69,2.816,1.32,"Control",367862
"71","OC132",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,73180,NA,TRUE,271144,33954,33954,851184,1,0.9458,"Female",3.805,2.314,1.208,"Control",9e+05
"81","OC133",TRUE,529372,529372,0,0,FALSE,NA,0,NA,78392,93212,TRUE,144570,268268,268268,529372,0,1,"Female",3.597,1.839,0.684,"Control",93212
"91","OC142",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,57782,79176,TRUE,347474,22138,22138,9e+05,0,1,"Female",3.83,2.2,1.342,"Control",79176
"101","OC143",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,30484,NA,TRUE,170654,74440,74440,215706,2,0.2397,"Female",3.827,2.41,1.257,"Control",9e+05
"111","OC144",TRUE,67468,67468,0,0,FALSE,NA,0,NA,19050,35256,FALSE,141970,NA,9e+05,67328,0,0.2815,"Female",3.365,NA,0.976,"Control",35256
"121","OC145",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,208620,202314,TRUE,174046,126126,126126,832700,2,0.9252,"Female",3.682,2.249,1.33,"Control",202314
"131","OC146",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,54828,NA,NA,NA,NA,NA,159712,1,0.1775,"Female",3.663,2.115,1.213,"Control",9e+05
"141","OC22",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,40298,274160,TRUE,124228,23712,23712,897890,1,0.9977,"Female",3.821,NA,NA,"Control",274160
"151","OC42",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,66246,646244,TRUE,683994,53526,53526,279678,2,0.3108,"Male",2.616,1.269,0.777,"Control",646244
"161","OC48",TRUE,147642,147642,0,0,FALSE,NA,0,NA,82314,99670,TRUE,89024,55296,55296,397394,0,1,"Female",3.215,NA,NA,"Control",99670
"181","OC62",TRUE,733618,733618,0,0,FALSE,NA,0,NA,41844,720028,TRUE,125154,28728,28728,635260,5,0.8503,"Female",3.891,2.472,1.093,"Control",720028
"191","OC63",TRUE,5e+05,5e+05,0,0,FALSE,NA,0,NA,104614,481514,TRUE,156302,254320,254320,539188,0,1,"Female",3.485,NA,NA,"Control",481514
"20","OC65",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,144312,640024,TRUE,73466,73600,73600,362360,2,0.4026,"Male",3.379,2.198,1.104,"Control",640024
"211","OC81",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,59292,NA,FALSE,123286,NA,9e+05,9e+05,0,1,"Female",3.372,NA,NA,"Control",9e+05
"221","OC92",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,23344,NA,FALSE,223092,NA,9e+05,9e+05,0,1,"Female",3.558,NA,NA,"Control",9e+05
"23","OC93",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,36084,24316,TRUE,129676,105146,105146,532150,1,0.5913,"Female",NA,2.304,0.822,"Control",24316
"24","OC96",FALSE,NA,9e+05,0,0,FALSE,NA,0,NA,66804,NA,FALSE,80162,NA,9e+05,872032,1,0.9689,"Female",NA,NA,NA,"Control",9e+05
